Chemical,Synonyms,Category,FORMULA,CAS,Mass (Daltons),ComponentType,molType,Is Soluble,Solubility,Is_HAZARD,CODE,Risk No.,Safety phrases,"Flammable,Toxic/IrritantCorrosive",RefSampleName,SampleCategory,
betaine monohydrate,,Additive,C5H11NO2.H2O,17146-86-0,135.16,MolComp,other,Y,,,,,,,Betaine monohydrate,Chemical/Biochemical
bestatin hydrochloride,,Inhibitor,C16H24N2O4.HCl,65391-42-6,344.83,MolComp,other,Y,,,2,,"S22,S24/25",,Bestatin hydrochloride,"Inhibitor,Chemical/Biochemical"
bicine,"N,N-bis(2-hydroxyethyl)glycine ",Buffering agent,C6H13NO4,150-25-4,163.17,MolComp,other,Y,,,1,,"S22,S24/25",,Bicine,"Buffer,Buffering Agent,Chemical/Biochemical"
BigCHAP,,Detergent,C42H75N3O16,86303-22-2,878.1,MolComp,other,Y,,Y,2,"R61,R20/21,R36/37/38","S53,S22,S36/37/39,S45",T,BigCHAP,Detergent
D-biotin,vitamin H,Vitamin,C10H16N2O3S,58-85-5,244.31,MolComp,other,Y,,,,,,,D-Biotin,Vitamins and Derivatives
biotin-maleimide,N-biotinoyl-N'-(6-maleimidohexanoyl)hydrazide,Modifying agent,C20H29N5O5S,,451.54,MolComp,other,Y,,,1,,,,Biotin-maleimide,Vitamins and Derivatives
bis(hexamethylene)triamine,"6,6'-iminodihexylamine; bis(6-aminohexyl)amine",Inhibitor,NH2(CH2)6NH(CH2)6NH2,143-23-7,215.38,MolComp,other,Y,,Y,3,"R22,R34","S26,S36/37/39,S45",C,Bis(hexamethylene)triamine,Chemical/Biochemical
BIS-TRIS,"Bis-Tris; 2,2-Bis(hydroxymethyl)-2,2',2''-nitrilotriethanol; Bis(2-hydroxyethyl)amino-tris(hydroxymethyl)methane; 2-Bis(2-hydroxyethyl)amino-2-(hydroxymethyl)-1,3-propanediol ",Buffering agent,C8H19NO5,6976-37-0,209.24,MolComp,other,Y,,,,R36/37/38,"S26,S36",Xi,BIS-TRIS,"Buffer,Buffering Agent,Chemical/Biochemical"
BIS-TRIS hydrochloride,,Buffering agent,C8H19NO5.HCl,124763-51-5,245.7,MolComp,other,Y,,,1,,,,BIS-TRIS hydrochloride,"Buffer,Buffering Agent,Chemical/Biochemical"
BIS-TRIS propane,"1,3-Bis[tris(hydroxymethyl)methylamino]propane; Bis-Tris propane; bis-Tris propane ",Buffering agent,CH2[CH2NHC(CH2OH)3]2,64431-96-5,282.33,MolComp,other,Y,,,,,,,BIS-TRIS propane,"Buffer,Buffering Agent,Chemical/Biochemical"
boric acid,acidum boricum,pH conjugate,BH3O3,10043-35-3,61.83,MolComp,other,Y,,,2,"R36,R37,R38","S22,S26,S36,S37,S38,S45",,Boric acid,Chemical/Biochemical
