name,details,category,expTypes,catNum,supplier,dpURL
DE3 Competent cell set,,Competent cells,Transformation,71207,Novagen,http://www.emdbiosciences.com/product/71207
B834(DE3),,Competent cells,Transformation,69041,Novagen,http://www.emdbiosciences.com/product/69041
XL1 Blue Competent Cells,,Competent cells,Transformation,200249,Stratagene,http://www.stratagene.com/manuals/200314.pdf
Xl10 Gold Ultracompetent cells,,Competent cells,Transformation,200315,Stratagene,http://www.stratagene.com/manuals/200314.pdf
BL21-Gold Competent cells,,Competent cells,Transformation,230130,Stratagene,http://www.stratagene.com/manuals/230130.pdf
BL21 CodonPlus -RIL Competent cells,,Competent cells,Transformation,230240,Stratagene,http://www.stratagene.com/manuals/230240.pdf
One Shot TOP10,,Competent cells,Transformation,C4040,Invitrogen/Life Technologies,http://www.invitrogen.com/search.cfm?category=&searchterm=C4040
MAX Efficiency DH5a TI Phage-Resistant Competent cells,,Competent cells,Transformation,12034-013,Invitrogen/Life Technologies,http://www.invitrogen.com/search.cfm?category=&searchterm=12034
TAM1 Competent E.Coli,,Competent cells,Transformation,11596,ActiveMotif,http://www.activemotif.com/catalog/transfect_expr/rapidtrans
Multishot Stripwell OmniMAX,,Competent cells,Transformation,440011,Invitrogen/Life Technologies,http://www.invitrogen.com
,,,,,,
,,,,,,
Qiagen PCR clean up,,Nucleic acid purification kit,DNA purification,28104,Qiagen Ltd,http://www1.qiagen.com/Search/search.aspx?category=1&SearchTerm=28104
Qiagen Plasmid mini kit (25),,Nucleic acid purification kit,DNA purification / Miniprep,12123,Qiagen Ltd,http://www1.qiagen.com/Search/search.aspx?category=1&SearchTerm=12123
Qiagen Plasmid midi kit (25),,Nucleic acid purification kit,DNA purification / Midiprep,12143,Qiagen Ltd,http://www1.qiagen.com/Search/search.aspx?category=1&SearchTerm=12143
Qiaquick 96 plates,,Nucleic acid purification kit,DNA purification,28181,Qiagen Ltd,http://www1.qiagen.com/Search/search.aspx?category=1&SearchTerm=28181
Agencourt AMPure 60ml Kit,,Nucleic acid purification kit,DNA purification,130,Agencourt Bioscience Corporation,http://www.agencourt.com/products/spri_reagents/ampure/
,,,,,,
,,,,,,
GS96 medium,,Culture media,Culture,3101,Qbiogene,http://www.qbiogene.com/search/index.shtml
SOC medium,,Culture media,Culture,3031,Qbiogene,http://www.qbiogene.com/search/index.shtml
Luria broth (LB),,Culture media,Culture / Miniprep,,,
Overnight Express Autoinduction System,,Culture media,Expression / Culture,71300,Novagen,http://www.emdbiosciences.com/product/71300
